Brawler,Rarity,Class,Voice actor,Movement speed,Attack Range,Reload,Attack spread,Super Range,Projectiles per Super,Projectile speed,Projectiles per attack,Attack width,Attack projectile speed,Thorny grenade range,Health_11,Previous Brawler,Next Brawler,Gadget_1_Name,Gadget_1_Cooldown,Gadget_2_Name,Gadget_2_Cooldown,Super Charge per Hit (%),Hypercharge per Hit (%),Gadget 1 Cooldown,Gadget 2 Cooldown,Super duration,StarPower_1_Name,StarPower_2_Name
Mr. P,Mythic,Controller,Martin Schjøler,720 (Normal)893 (with Hypercharge),7 (Long)10.33 (after bounce),1.6 seconds (Normal),N/A,5,N/A,1196 (home base)2500 (porter),,1.33,30001000 (bounce),4.67,6800,Max,Sprout,Service Bell,17 seconds,Porter Reinforcements,17 seconds,17.67%,6.1845%,17 seconds,17s,,,
Nani,Epic,Marksman,Barbara Coyle,720 (Normal)900 (with Hypercharge),8.67 (Long)11.67 (after convergence),1.8 seconds (Normal),50°,3.33,N/A,2500,3,,4000,,4800,Bea,Edgar,Warpin' Time,13 seconds,Return to Sender,17 seconds,18.5%,5.55%,13 seconds,17 seconds,10 seconds,Autofocus,
Nita,Rare,Damage Dealer,Marissa Lenti,720 (Normal)907 (with Hypercharge),6 (Normal),1.1 seconds (Very Fast),N/A,5,N/A,1196,,1.67,2718,2,8000,Shelly,Colt,Bear Paws,13 seconds,Faux Fur,14 seconds,20.9%,10.45%,13 seconds,14 seconds,,Bear with Me,
Ollie,Mythic,Tank,Nicole Davis,"770 (Fast)2300 (with Super)963 (with Regulate)930 (with Kick, Push)",6.33 (Normal),1.8 seconds (Normal),13.5°,5.67 (Normal),N/A,N/A,,,3000,,10600,Juju,Finx,Regulate,20 seconds,All Eyz On Me,15 seconds,17%,N/A,20 seconds,15 seconds,2.5 seconds,,
Otis,Mythic,Controller,Martin Schjøler,720 (Normal)900 (with Hypercharge),9 (Long),1.5 seconds (Normal),11°,9 (Long),N/A,3200,3  4 (with Ink Refills)  1 (with Phat Splatter),1.33 (with Phat Splatter),3600,,6400,Janet,Buster,Dormant Star,11 seconds,Phat Splatter,17 seconds,7.705%,3.8525%,11 seconds,17 seconds,3 seconds  4 seconds (with Stencil Glue),,
Pam,Epic,Support,Jennifer Wydra,720 (Normal),9 (Long),1.3 seconds (Very Fast),30°,5,N/A,1196,9,,4130,3.33,9600,Piper,Frank,Pulse Modulator,12 seconds,Scrapsucker,17 seconds,6.75%,N/A,12 seconds,17 seconds,,Mama's Hug,Mama's Squeeze
Pearl,Epic,Damage Dealer,Barbara Coyle,720 (Normal)907 (with Hypercharge),9 (Long),1.5 seconds (Normal),20°,3.33 (Short),N/A,N/A,6,,4000,,7800,Hank,Larry & Lawrie,Overcooked,15 seconds,Made With Love,11 seconds,6.5%,2.6%,15 seconds,11 seconds,,,
Penny,Super Rare,Controller,Maria Arteaga,720 (Normal)907 (with Hypercharge),8.67 (Long),2 seconds (Slow),40° (coins)80° (coins; with Heavy Coffers),5 (Normal),N/A,1196750 (cannonball),46 (with Heavy Coffers),10.67 (coins),34002500 (coins),13.33,6400,Darryl,Carl,Salty Barrel,18 seconds,Trusty Spyglass,15 seconds,21.805%,6.5415%,18 seconds,15 seconds,,Master Blaster,
Piper,Epic,Marksman,Elizabeth Saydah,720 (Normal)907 (with Hypercharge)0–1300 (with Super)0–2167 (with Super and Hypercharge),10 (Very Long)11.67 (with Homemade Recipe),2.3 seconds (Very Slow),N/A,8.67 (Long),46 (with Hypercharge),N/A,,0.67,4000,,4600,Stu,Pam,Auto Aimer,18 seconds,Homemade Recipe,18 seconds,8.245–41.225% (close to max range),2.88575–14.42875% (close to max range),18 seconds,18s,,Ambush,
Poco,Rare,Support,Darren Roebuck,720 (Normal)900 (with Hypercharge),7 (Long),1.6 seconds (Normal),65°,9.33 (Very Long),N/A,5000,,,2500,,7400,Barley,Rosa,Tuning Fork,20 seconds,Protective Tunes,18 seconds,21%,10.5%,20 seconds,18 seconds,,Da Capo!,Screeching Solo
R-T,Mythic,Damage Dealer,Martin Schjøler,720 (Normal)900 (with Hypercharge)820 (split)1025 (split; with Hypercharge),10 (Very Long) 3.33 (split),1.5 seconds (Normal)1.8 seconds (split),360° (split),N/A,N/A,N/A,,0.33,4500,,7800,Gray,Willow,Out of Line,20 seconds,Hacks!,15 seconds,25.375%,6.34375%,20 seconds,15 seconds,,,
Rico,Super Rare,Damage Dealer,Martin Schjøler,720 (Normal)907 (with Hypercharge)970 (with Robo Retreat)1157 (with Robo Retreat and Hypercharge),9.67 (Very Long),1.2 seconds (Very Fast)1.02 seconds (with Reload Gear),7.5°,13.33 (Very Long),12,4891,5,0.67,3478,,5600,8-Bit,Darryl,Multiball Launcher,20 seconds,Bouncy Castle,17 seconds,8.4%,2.94%,20 seconds,17 seconds,,Super Bouncy,
Rosa,Rare,Tank,Sheila Williams,770 (Fast)963 (with Hypercharge),3.67 (Short),1 second (Very Fast),65°,N/A,N/A,N/A,3,,5000,,10000,Poco,Jessie,Grow Light,13 seconds,Unfriendly Bushes,14 seconds,8.5%,4.25%,13 seconds,14 seconds,3 seconds,Plant Life,Thorny Gloves
Ruffs,Mythic,Support,Blythe Melin,720 (Normal)864 (with Hypercharge),9 (Long),1.4 seconds (Fast),N/A,7.67 (Long),N/A,1700,2,0.47,3500,2.33,5600,Lou,Buzz,Take Cover,16 seconds,Air Support,15 seconds,15.25%,6.1%,16 seconds,15 seconds,,,
Sam,Epic,Assassin,Joe French,770 (Fast) 963 (with Hypercharge)963 (after throwing Knuckle Busters; Very Fast)1156 (after throwing Knuckle Busters with Hypercharge),3 (Short),1.6 seconds (with Knuckle Busters; Normal) 0.9 seconds (without Knuckle Busters; Very Fast),50° (with Knuckle Busters) 25° (without Knuckle Busters),8.67 (throwing Knuckle Busters; Long),N/A,2900 (throwing Knuckle Busters)3600 (retrieving Knuckle Busters)3600 (throwing Knuckle Busters with Hypercharge)4400 (retrieving Knuckle Busters with Hypercharge),2,,5000 (with Knuckle Busters)3261 (without Knuckle Busters),,10800,Lola,Mandy,Magnetic Field,17 seconds,Pulse Repellent,11 seconds,20% (with Knuckle Busters),5% (with Knuckle Busters),17 seconds,11 seconds,,,
Sandy,Legendary,Controller,Patrick Pedraza,770 (Fast)963 (with Hypercharge)1117 (with Hypercharge and Super),6 (Normal),1.8 seconds (Normal),40°,7.33 (Long),N/A,2000,,,3500,6.67,7600,Leon,Amber,Sleep Stimulator,11 seconds,Sweet Dreams,18 seconds,16.875%,6.75%,11 seconds,18 seconds,9 seconds,Rude Sands,Healing Winds
Shade,Epic,Assassin,Martin Schjøler,820 (Very Fast)1025 (with Hypercharge)3000 (Super dash)1066 (with Super)1271 (with Super and Hypercharge)943 (with Spooky Speedster)1148 (with Spooky Speedster and Hypercharge),3.67 (Short)5.33 (with Longarms),0.8 seconds (Very Fast),150°,3.33 (Short),N/A,N/A,,,,,7000,Berry,Meeple,Longarms,15 seconds,Jump Scare,9 seconds,20%,8%,15 seconds,9 seconds,6 seconds,,
Shelly,Starting Brawler,Damage Dealer,Sandra Espinoza,770 (Fast)963 (with Hypercharge)2000 (with Fast Forward),7.67 (Long)10 (with Clay Pigeons),1.5 seconds (Normal),30°10° (with Clay Pigeons),7.67 (Long),912 (with Hypercharge),4130,5,,31004300 (with Clay Pigeons),,7400,N/A,Nita,Fast Forward,13 seconds,Clay Pigeons,16 seconds,10.05%,3.015%,13 seconds,16 seconds,,Band-Aid,
Spike,Legendary,Damage Dealer,N/A,720 (Normal)907 (with Hypercharge),7.67 (Long)11.33 (spikes),2 seconds (Slow),N/A,7.67 (Long),N/A,1739,7,10.33 (spike),21743261 (spike),2.67,5600,Alli,Crow,Popping Pincushion,14 seconds,Life Plant,14 seconds,14.31%,5%,14 seconds,14s,4.5 seconds,Fertilize,
Sprout,Mythic,Artillery,Martin Schjøler,720 (Normal)907 (with Hypercharge),5 (throw; Normal)8.33 (after landing; Long),1.7 seconds (Normal),N/A,7.67 (Long),N/A,1739,,1.01,1700,,6000,Mr. P,Byron,Garden Mulcher,11 seconds,Transplant,20 seconds,22.88%,9.152%,11 seconds,20 seconds,10 seconds,,
Squeak,Mythic,Controller,Martin Schjøler,720 (Normal)900 (with Hypercharge),7.67 (Long)15.33 (with Windup; Very Long),2.1 seconds (Slow),N/A,8.33 (Long)13.33 (with Hypercharge),612 (with Hypercharge),8003000 (blob),,0.33,4000,,7200,Byron,Lou,Windup,14 seconds,Residue,20 seconds,25%,10%,14 seconds,20 seconds,,,
Stu,Epic,Assassin,Kai Skrotzki,720 (Normal)820 (with Speed Zone)907 (with Hypercharge)1007 (with Speed Zone and Hypercharge)3000 (with Super),7.67 (Long),1.5 seconds (Normal),N/A,2.33 (Short)4 (with Zero Drag),N/A,N/A,2,1.33,3300,,6400,Emz,Piper,Speed Zone,20 seconds,Breakthrough,16 seconds,135%,2.7%,20 seconds,16 seconds,,Gaso-Heal,
Surge,Legendary,Damage Dealer,Steven Kelly,650 (Slow)748 (with Hypercharge)820 (stage 1+; Very Fast)943 (stage 4; with Hypercharge)0–1333 (with Super),6.67 (Normal)8.67 (stage 2+; Long)10.67 (stage 4; with Hypercharge),2 seconds (Slow),N/A,3.33 (Short),N/A,N/A,,1,35003000 (split),,6000,Meg,Chester,Power Surge,15 seconds,Power Shield,17 seconds,35.4%,7.08%,15 seconds,17 seconds,,,
Tara,Mythic,Damage Dealer,Martin Schjøler,720 (Normal)893 (with Hypercharge),8 (Long),2 seconds (Slow),25°,6.67 (Normal),N/A,1522,3,,3152,,6200,Mortis,Gene,Psychic Enhancer,20 seconds,Support from Beyond,15 seconds,10%,5%,20 seconds,15 seconds,,,
Tick,Super Rare,Artillery,Martin Schjøler,720 (Normal)907 (with Hypercharge),8.67 (Long),2.4 seconds (Very Slow)2.18 seconds (with Automa-Tick Reload),N/A,3.33 (Short),N/A,11963000 (with Hypercharge),36 (with Mine Mania),,4502000 (split),,4400,Dynamike,8-Bit,Mine Mania,15 seconds,Last Hurrah,15 seconds,18.7%,7.48%,15 seconds,15s,,,
Willow,Mythic,Controller,Emma Rae,720 (Normal)893 (with Hypercharge),7.33 (Long),2 seconds (Slow),N/A,8.33 (Long),N/A,4130,,,1750,,6200,R-T,Doug,Spellbound,13 seconds,Dive,16 seconds,8.5%,3.4%,13 seconds,16 seconds,4 seconds,,
Kaze,Ultra Legendary,Assassin,N/A,820 (geisha; Very Fast)2700 (geisha; with attack)3000 (geisha; with Hensojutsu)1025 (geisha; with Hypercharge)720 (ninja; Normal)5000 (ninja; with Super)936 (ninja; with Gracious Host)900 (ninja; with Hypercharge)6500 (ninja; with Hypercharged Super),N/A,N/A,N/A,7.33 (Long),N/A,1000,,,,5,8000,Kenji,N/A,Gracious Host,6 seconds,Hensojutsu,6 seconds,21.5625%,9.703125%,6 seconds,6s,5 seconds,,
Alli,Mythic,Assassin,Leader Looi,770 (Fast)1020 (while enraged)1970 (dash)2680 (Jump),0.67 (dash; Short)1 (jump; Short),"2.1 seconds (dash; Slow)2.8 seconds (jump; Very Slow)1.575 seconds (dash; with You Better Run, You Better Take Cover)2.1 seconds (jump; with You Better Run, You Better Take Cover)",N/A,N/A,N/A,N/A,,,,,7400,Jae-yong,Spike,Feed the Gators,10 seconds,Cold-Blooded,14 seconds,32.5%,N/A,10 seconds,14 seconds,7 seconds,,
Jae-yong,Mythic,Support,N/A,770 (Fast)1001 (with Super)924 (with slipstream)847 (with one ally and The Crowd Goes Mild)924 (with two allies and The Crowd Goes Mild)1001 (with three allies and The Crowd Goes Mild)1078 (with four allies and The Crowd Goes Mild),8.33 (Long),1.45 seconds (Fast),N/A,4.17,N/A,N/A,,1.51.33 (trails),35003700 (work mode),,6800,Lumi,Alli,Weekend Warrior,15 seconds,Time for a Slow Song,15 seconds,0.1625% (work mode),N/A,15 seconds,15s,2 seconds (speed boost),,
